whiskyID,rev_ID,date,rating,text
6,6-56,29.04.2020,4.0,"Aroma: Kaminfeuer, Süss, Maritim  Geschmack: Dezenter Rauch, Süsse, Lebkuchen  Abgang: Mittellang, etwas Rauch, Eiche, und etwas Süsse  Kommentar: Ja, einer meiner Favoriten ich gebe 4,5 Sterne"
6,6-57,03.08.2014,5.0,
6,6-58,11.02.2015,,"Aroma:  Meeresbrise, Torfrauch, der zwar stark, aber schön in die Süße eingebunden ist, komplex, später tatsächlich so etwas wie abgehangener Schinken  Geschmack:  intensiv, leicht süß, viel Eiche						  Abgang:  phänomenal, macht sich Minuten später noch in verschiedensten Nuancen bemerkbar  Kommentar:  Hier gelingt die hohe Kunst starken Torfrauch ideal in die zahlreichen Aromen aus den Fässern einzubinden, 1/2 Stern ab für 43 % und Kühlfiltrierung, ansonsten hervorragend	4,5/5"
6,6-59,11.02.2015,4.0,
6,6-60,02.02.2017,5.0,Kommentar: hat alles gute eines echten Islay
6,6-61,14.07.2016,5.0,"Aroma: Jod, Seetang, Salz, Anis, Lagerfeuerrauch, Eiche, süßlich  Geschmack: intensiver Antriit mit deutlichem Rauch, trockene Süße, Anis, Fenchel, Süßholz  Abgang: sehr lang, glühend und intensiv, anhaltend"
6,6-62,10.10.2014,4.0,
6,6-63,18.10.2018,5.0,
6,6-64,06.11.2018,5.0,"Aroma: feiner Rauch, Lagerfeuer, Räucherofen, etwas Sherry, etwas Karamell welche vom angenehmen Rauch leicht verhüllt werden  Geschmack: Feiner Räucherrauch, Pfeffer, Ingwer, leicht fruchtig, malzig, Bitterorange, weiß Schokolade, Vollmilchschokolade, Zimt, etwas Zartbitterschokolade  Abgang: Räucherauch, etwas Pfeffer, leicht nach Zartbitterschokolade welche in Vollmilchschokolade übergeht. Sehr laaanger Abgang  Kommentar: Toller Whisky. Hätte nicht gedacht das mich als Nichtraucher ein rauchiger Whisky so begeistern könnte."
6,6-65,21.03.2016,4.0,"Aroma: Rauch, etwas Krankenhausflur, süßer Weingummi  Geschmack: kräftiger Antritt danach kurz etwas Süße und würzig, rauchig  Abgang: lang und süß. Eichenwürze. wärmend  Kommentar: Stark, rauchig und gut. Aber leider konnte er meine hohen Erwartungen nicht ganz erfüllen. Deshalb ganz knapp 4 Sterne."
6,6-66,27.01.2015,5.0,"Aroma: sehr intensiv Torfrauch,gewaltig und beeindruckend, dann auch minimal auch etwas Süße,   Geschmack: Torfrauch, Torfrauch, Torfrauch, etwas Süße, Etwas Eiche, sehr komplex   Abgang: lang bis sehr lang  Kommentar: gewaltig, sehr gut"
6,6-67,27.01.2015,4.0,"Aroma: Rauch, Jod und Serrano-Schinken dominieren. Der Rauch erinnert eher an ein kaltes Lagerfeuer, hat aber auch medizinische Komponenten. Der Sherry lässt sich eigentlich nur erahnen. Je länger man riecht, umso mehr ist zu finden. Das Feuer lodert auf, ein paar Feigen und Grapefruitschalen, Backpflaumen und viel anderes, schwer definierbares. Allerdings nichts wirklich süßes.   Geschmack: Im Geschmack ist er allerdings deutlich aber nicht aufdringlich süß. Der Rauch ist stark, aber gut eingebunden. Dazu salziger Schinken. Sehr komplex, viel zu finden, das Aroma ist dennoch vielschichtiger.  Abgang: Lakritze und Anis begleiten kühl den Rauch, der sich auf der Zunge ablegt, während die Süße geht. Dennoch ist der Abgang zwar recht lang, aber es ist kein Laphroaig.  Kommentar: Ein sehr ausgewogener, angenehmer Whisky. Sehr kräftig, lebhaft und komplex. Faszinierend ist das deutlich salzige Räucheraroma, das selbst im leeren Glas deutlich zurückbleibt."
6,6-68,25.06.2013,5.0,"Kommentar: die Rauchbombe, der Klassiker"
6,6-69,10.09.2014,4.0,
6,6-70,04.11.2010,5.0,
6,6-71,15.10.2018,3.0,"Aroma Medizinischer Rauch, verbrannter Gummi. Beim zweiten Riechen ist der Gummi weg, dafür Salz und etwas Seetang erkennbar.  Geschmack Sehr rauchig, umschmeichelt schon fast ölig die Zunge, süss und würzig.  Abgang Sehr lang. Etwas zu dominanter Rauch, der mit der Zeit Eiche weicht.  Kommentar Ist wohl einer der anspruchsvollsten Whiskies auf dem Markt. Die Liebe zu diesem Tropfen muss mit viel Zeit wachsen. Lange wurde ich gar nicht warm damit, obwohl ich mit Ballechin, Laphroaig oder auch Bowmore andere Raucher sehr schätze."
6,6-72,11.11.2019,5.0,"Aroma Geräucherter Schinken, Waldhonig, ein wenig Eiche, Ananas  Geschmack Rauch, Honig, Gewürze, Malz  Abgang Lang. Wärmend, rauchig und süss   Kommentar In meinen Augen einer der komplexesten Malts. Am Anfang konnte ich mich gar nicht damit anfreunden, mittlerweile liebe ich ihn."
6,6-73,20.11.2018,2.0,"Aroma: Scharf und medizinisch.  Geschmack: Torf, medizinischer Rauch, ein wenig Malz.  Abgang: Kurz und extrem rauchig."
6,6-74,19.12.2010,4.0,
6,6-75,13.05.2011,5.0,"Aroma: Rauch, Süßer Sherry, Seeluft/Seetang.  Geschmack: Rauchig Süß, vollmundig, würzig, etwas Frucht, vielleicht ein wenig Salz.   Abgang: Würzige Eiche, süß, viel Rauch, etwas Salz, langer komplexer Abgang.  Kommentar: Ein sehr komplexer Single Malt, sehr zu empfehlen."
6,6-76,23.12.2012,5.0,"Aroma: Intensiver Torfrauch mit Noten von Jod und Seetang  Geschmack: Trockener Torfrauch füllt den Gaumen mit einer sanften kraftvollen Süße  Abgang: : Ein langes elegantes, von Torfigkeit erfülltes Finish   Kommentar: Torf-, Sherry- und Grasaroma, Salznote, im  Nachklang kraftvoll mit Torfaroma Intensiv,  rauchig süß mit Noten von Seetang"
